name,lat,lon,elevation,capacity,huc,state
utahlake,40.359,-111.894,4485,870900,1.60202E+11,utah
deercreek,40.41,-111.53,"5,420",149700,1.60202E+11,utah
jordanelle,40.598,-111.423,6187,314000,1.60202E+11,utah
rockport,40.789,-111.403,6038,60900,1.60201E+11,utah
eastcanyon,40.92,-111.601,5667,49500,1.60201E+11,utah
smith,40.758,-111.104,7722,8100,1.60201E+11,utah
echo,40.964,-111.432,5569,73900,1.60201E+11,utah
lostcreek,41.183,-111.399,5917,22500,1.60201E+11,utah
causey,41.298,-111.586,5718,7100,1.60201E+11,utah
pineview,41.254,-111.843,4916,110100,1.60201E+11,utah
willard,41.377,-112.083,4203,215000,1.60201E+11,utah
hyrum,41.621,-111.861,4672,15300,1.60102E+11,utah
newton,41.9,-111.976,4760,9950,,utah
washington,40.676,-110.964,9997,2400,,utah
trial,40.68,-110.957,9831,1600,,utah
lost,40.674,-110.941,9908,,,